Комментарий к вопросу  1. Какие причины (факторы) сформировали ваше решение уйти из компании (выберите не более 3-х).,"Комментарий к вопросу 1.1 Есть ли еще дополнительные причины, которые повлияли на ваше решение уйти из компании (выберите не более 3-х ).",Комментарий к вопросу 2 Рассматриваете ли вы возможность остаться в компании/перевестись внутри отрасли?,Комментарий к вопросу 3 Рассматриваете ли вы возможность возвращения в компанию?,Комментарий к вопросу 4 Готовы ли вы рекомендовать компанию как работодателя?
"""Личностные причины""","""Личностные причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Личностные причины""","""Управление и руководство""","""Карьерные перспективы"", ""Условия труда""",,
"""Другие причины""","""Управление и руководство"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""",,
"""Зарплата"", ""Взаимоотношения в коллективе"", ""Управление и руководство""","""Дополнительных причин увольнения нет.""","""Зарплата""",,
"""Карьерные перспективы"", ""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Личностные причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Условия труда""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Условия труда""","""Карьерные перспективы"", ""Условия труда""","""Карьерные перспективы"", ""Условия труда""",,
"""Личностные причины""","""Личностные причины""","""Условия труда"", ""График работы"", ""Управление и руководство"", ""Личностные причины""",,
"""Личностные причины""","""Личностные причины""","""Условия труда""",,
"""Условия труда"", ""Личностные причины""","""Личностные причины""","""Карьерные перспективы"", ""Личностные причины""",,
"""Личностные причины""","""Другие причины""","""Личностные причины""",,
"""Зарплата""","""Другие причины""","""Управление и руководство""",,
"""Личностные причины""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Управление и руководство""","""Личностные причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Управление и руководство"", ""Личностные причины""","""Условия труда"", ""Управление и руководство"", ""Личностные причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Личностные причины""","""Условия труда""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы""","""Взаимоотношения в коллективе"", ""Условия труда""","""Карьерные перспективы"", ""Личностные причины""",,
"""Зарплата"", ""Карьерные перспективы"", ""Условия труда""","""Условия труда""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Личностные причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Зарплата"", ""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Зарплата""",,
"""Личностные причины""","""Другие причины""","""Карьерные перспективы"", ""Личностные причины""",,
"""Взаимоотношения в коллективе""","""Условия труда""","""Зарплата"", ""Карьерные перспективы""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Условия труда"", ""График работы"", ""Личностные причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Личностные причины""","""Условия труда""","""Карьерные перспективы"", ""Условия труда""",,
"""График работы"", ""Условия труда"", ""Личностные причины""","""Условия труда""","""Карьерные перспективы"", ""Условия труда""",,
"""Личностные причины""","""Личностные причины""","""Личностные причины""",,
"""Личностные причины""","""Переезд в Турецкую Республику"", ""Работа на АЭС Аккую""","""График работы"", ""Условия труда""",,
"""Условия труда""","""Личностные причины""","""Личностные причины""",,
"""Личностные причины""","""Управление и руководство""","""Карьерные перспективы"", ""Условия труда""",,
"""Зарплата"", ""Условия труда""","""Карьерные перспективы""","""Взаимоотношения в коллективе"", ""Личностные причины""",,
"""Другие причины""","""Зарплата""","""Взаимоотношения в коллективе"", ""Условия труда""",,
